2026-04-07 02:48:28 | DEBUG | stakan_pattern | [PEOPLEUSDT LONG] Анализ: spr3_pct=0.3130, roc_sma=0.1555, rate=2.01
2026-04-07 02:48:28 | DEBUG | stakan_pattern | [PEOPLEUSDT SHORT] Анализ: spr3_pct=0.3135, roc_sma=0.1577, rate=1.99
2026-04-07 02:48:28 | DEBUG | stakan_pattern | [AAVEUSDT SHORT] Анализ: spr3_pct=0.5379, roc_sma=0.0346, rate=15.53
2026-04-07 02:48:29 | DEBUG | stakan_pattern | [SKLUSDT LONG] Анализ: spr3_pct=0.4854, roc_sma=0.1605, rate=3.02
2026-04-07 02:48:29 | DEBUG | stakan_pattern | [SKLUSDT SHORT] Анализ: spr3_pct=0.3241, roc_sma=0.1631, rate=1.99
2026-04-07 02:48:29 | DEBUG | stakan_pattern | [SKLUSDT LONG] Анализ: spr3_pct=0.4854, roc_sma=0.1605, rate=3.02
2026-04-07 02:48:29 | DEBUG | stakan_pattern | [SKLUSDT SHORT] Анализ: spr3_pct=0.3241, roc_sma=0.1631, rate=1.99
2026-04-07 02:48:29 | DEBUG | stakan_pattern | [LUNA2USDT SHORT] Анализ: spr3_pct=0.5535, roc_sma=0.1862, rate=2.97
2026-04-07 02:48:29 | DEBUG | stakan_pattern | [AAVEUSDT SHORT] Анализ: spr3_pct=0.5272, roc_sma=0.0346, rate=15.22
2026-04-07 02:48:29 | DEBUG | stakan_pattern | [MEMEUSDT LONG] Анализ: spr3_pct=0.3984, roc_sma=0.2370, rate=1.68
2026-04-07 02:48:29 | DEBUG | stakan_pattern | [GALAUSDT SHORT] Анализ: spr3_pct=0.7018, roc_sma=0.3559, rate=1.97
2026-04-07 02:48:29 | DEBUG | stakan_pattern | [EDGEXUSDT LONG] Анализ: spr3_pct=0.2397, roc_sma=0.0196, rate=12.26
2026-04-07 02:48:29 | DEBUG | stakan_pattern | [SNXUSDT SHORT] Анализ: spr3_pct=0.6897, roc_sma=0.3497, rate=1.97
2026-04-07 02:48:30 | DEBUG | stakan_pattern | [ICXUSDT LONG] Анализ: spr3_pct=0.5587, roc_sma=0.2762, rate=2.02
2026-04-07 02:48:30 | DEBUG | stakan_pattern | [ICXUSDT SHORT] Анализ: spr3_pct=0.5602, roc_sma=0.2833, rate=1.98
2026-04-07 02:48:30 | DEBUG | stakan_pattern | [PEOPLEUSDT LONG] Анализ: spr3_pct=0.3130, roc_sma=0.1555, rate=2.01
2026-04-07 02:48:30 | DEBUG | stakan_pattern | [PEOPLEUSDT SHORT] Анализ: spr3_pct=0.3135, roc_sma=0.1577, rate=1.99
